Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual
Norway,1,7.537000179,7.594444821,7.479555538,1.616463184,1.53352356,0.796666503,0.808231592,0.362012237,0.315963835,2.277026653
Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,1.551121593,0.792565525,0.741191506,0.355280489,0.400770068,2.313707352
Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.74031651,0.475540221,0.153526559,2.322715282
Switzerland,4,7.493999958,7.56177242,7.426227496,1.564979553,1.516911745,0.858131289,0.782489777,0.290549278,0.367007285,2.276716232
Finland,5,7.468999863,7.527542076,7.41045765,1.443571925,1.540246725,0.80915767,0.721785963,0.245482773,0.382611543,2.430181503
Netherlands,6,7.376999855,7.427425841,7.326573869,1.503944635,1.428939223,0.810696125,0.751972318,0.47048983,0.282661825,2.294804096
Canada,7,7.315999985,7.384402835,7.247597134,1.479204416,1.481348991,0.834557652,0.739602208,0.435539722,0.287371516,2.187264442
New Zealand,8,7.31400013,7.379510442,7.248489818,1.405706048,1.548195124,0.816759706,0.702853024,0.500005126,0.382816702,2.046456337
Sweden,9,7.28399992,7.344094877,7.223904962,1.494387269,1.478162169,0.830875158,0.747193635,0.385399252,0.384398729,2.097537994
Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.742207468,0.47769925,0.30118373,2.065210819
Israel,11,7.212999821,7.279853256,7.146146385,1.375382423,1.376289964,0.838404,0.687691212,0.330082655,0.0852421,2.801757336
Costa Rica,12,7.078999996,7.168111666,6.989888326,1.109706283,1.416403651,0.759509265,0.554853141,0.214613229,0.100106589,2.898639202
Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.743548632,0.316472322,0.221060365,2.138506413
United States,14,6.993000031,7.074656748,6.911343313,1.546259284,1.419920564,0.774286628,0.773129642,0.392578781,0.135638788,2.218113422
Ireland,15,6.977000237,7.043351668,6.910648805,1.535706639,1.558231115,0.809782624,0.76785332,0.427858323,0.298388153,1.773869038
Germany,16,6.951000214,7.005381569,6.896618858,1.487923384,1.472520351,0.798950732,0.743961692,0.33626917,0.276731938,2.015769958
Belgium,17,6.890999794,6.95582075,6.826178838,1.463780761,1.462312698,0.818091869,0.73189038,0.231503338,0.251343131,2.124210358
Luxembourg,18,6.862999916,6.9236861,6.802313732,1.741943598,1.457583666,0.845089495,0.870971799,0.283180982,0.318834424,1.619512081
United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.805335939,0.72081697,0.492774159,0.265428066,1.704143524
Chile,20,6.65199995,6.73925056,6.564749341,1.25278461,1.284024954,0.819479704,0.626392305,0.326662421,0.082287982,2.509585857
United Arab Emirates,21,6.647999763,6.722047304,6.573952223,1.626343369,1.266410232,0.726798236,0.813171685,0.360941947,0.324489564,1.734703541
Brazil,22,6.635000229,6.725469502,6.544530956,1.10735321,1.431306005,0.616552353,0.553676605,0.162349895,0.111092761,2.769267082
Czech Republic,23,6.609000206,6.683862463,6.534137949,1.352682352,1.433885217,0.754444003,0.676341176,0.088106759,0.036872927,2.451861858
Argentina,24,6.598999977,6.690085086,6.507914868,1.185295463,1.440451145,0.695137084,0.592647731,0.109457061,0.059739888,2.614005327
Mexico,25,6.578000069,6.671148908,6.48485123,1.153183818,1.21086216,0.709978998,0.576591909,0.120990433,0.132774115,2.837154865
Singapore,26,6.572000027,6.636723069,6.507276984,1.69227767,1.353814363,0.949492395,0.846138835,0.345965981,0.464307785,1.216362
Malta,27,6.52699995,6.598396773,6.455603128,1.343279839,1.488411665,0.821944237,0.671639919,0.574730575,0.153066069,1.556862831
Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.608779848,0.175096929,0.178061873,2.172409534
Guatemala,29,6.453999996,6.566873973,6.34112602,0.872001946,1.255585194,0.54023999,0.436000973,0.283488393,0.077223279,2.893891096
Panama,30,6.452000141,6.557130716,6.346869566,1.233748436,1.373192549,0.706156135,0.616874218,0.210556939,0.070983924,2.307199955
France,31,6.441999912,6.515767802,6.368232022,1.430923462,1.387776852,0.844465852,0.715461731,0.129762307,0.172502428,2.005954742
Thailand,32,6.423999786,6.509116856,6.338882717,1.127868772,1.425792456,0.647239029,0.563934386,0.57212311,0.031612735,2.039508343
Taiwan Province of China,33,6.421999931,6.494596022,6.349403841,1.433626533,1.384565353,0.793984234,0.716813266,0.258360475,0.063829236,2.126607418
Spain,34,6.402999878,6.471054845,6.334944911,1.384397864,1.532090902,0.8889606,0.692198932,0.190133572,0.070914097,1.92775774
Qatar,35,6.375,6.568476814,6.181523186,1.870765686,1.27429688,0.710098088,0.935382843,0.33047387,0.439299256,1.14546442
Colombia,36,6.356999874,6.452020054,6.261979694,1.070622325,1.402182937,0.595027924,0.535311162,0.149014473,0.046668742,2.616068125
Saudi Arabia,37,6.343999863,6.444166612,6.243833113,1.530623555,1.286677599,0.59014833,0.765311778,0.147616014,0.273432255,2.065429688
Trinidad and Tobago,38,6.168000221,6.381533891,5.954466552,1.361355901,1.380228519,0.519983292,0.68067795,0.325296462,0.008964816,2.053247452
Kuwait,39,6.105000019,6.191956989,6.018043049,1.632952452,1.259698749,0.632105708,0.816476226,0.228289798,0.21515955,1.640425205
Slovakia,40,6.09800005,6.177348412,6.018651687,1.325393558,1.505059242,0.712732911,0.662696779,0.136544481,0.024210852,2.097776651
Bahrain,41,6.086999893,6.178989068,5.995010719,1.488412261,1.323110461,0.653133035,0.744206131,0.172668487,0.25704217,1.656149387
